genres,genres,proportion
Action,6,0.1597444089456869
Action|Adventure,9,0.23961661341853036
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Comedy|Family,5,0.13312034078807242
Action|Adventure|Animation|Comedy|Family|Fantasy,4,0.10649627263045794
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Comedy|Family|Sci-Fi,3,0.07987220447284345
Action|Adventure|Animation|Comedy|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Animation|Family,1,0.026624068157614485
Action|Adventure|Animation|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Animation|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Animation|Family|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Animation|Fantasy,1,0.026624068157614485
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Biography|Drama|History|Romance|War,1,0.026624068157614485
Action|Adventure|Biography|Drama|History|Thriller,1,0.026624068157614485
Action|Adventure|Comedy,10,0.26624068157614483
Action|Adventure|Comedy|Crime,6,0.1597444089456869
Action|Adventure|Comedy|Crime|Family|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Music|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Crime|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Drama|Music|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Drama|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Drama|War,1,0.026624068157614485
Action|Adventure|Comedy|Family,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,4,0.10649627263045794
Action|Adventure|Comedy|Family|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Family|Romance,1,0.026624068157614485
Action|Adventure|Comedy|Family|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Comedy|Family|Sci-Fi,8,0.21299254526091588
Action|Adventure|Comedy|Fantasy,3,0.07987220447284345
Action|Adventure|Comedy|Fantasy|Mystery,1,0.026624068157614485
Action|Adventure|Comedy|Fantasy|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Musical,1,0.026624068157614485
Action|Adventure|Comedy|Music|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Romance,1,0.026624068157614485
Action|Adventure|Comedy|Romance|Sci-Fi,2,0.05324813631522897
Action|Adventure|Comedy|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Romance|Thriller|Western,1,0.026624068157614485
Action|Adventure|Comedy|Sci-Fi,4,0.10649627263045794
Action|Adventure|Comedy|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Comedy|Thriller,5,0.13312034078807242
Action|Adventure|Comedy|Western,2,0.05324813631522897
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Drama|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Drama|Romance,1,0.026624068157614485
Action|Adventure|Crime|Drama|Thriller,2,0.05324813631522897
Action|Adventure|Crime|Fantasy|Mystery|Thriller,1,0.026624068157614485
Action|Adventure|Crime|Mystery|Thriller,2,0.05324813631522897
Action|Adventure|Crime|Thriller,8,0.21299254526091588
Action|Adventure|Drama,4,0.10649627263045794
Action|Adventure|Drama|Family,1,0.026624068157614485
Action|Adventure|Drama|Fantasy,6,0.1597444089456869
Action|Adventure|Drama|History,2,0.05324813631522897
Action|Adventure|Drama|History|Romance,3,0.07987220447284345
Action|Adventure|Drama|History|Romance|War,1,0.026624068157614485
Action|Adventure|Drama|History|War,6,0.1597444089456869
Action|Adventure|Drama|Mystery,1,0.026624068157614485
Action|Adventure|Drama|Romance,7,0.1863684771033014
Action|Adventure|Drama|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Drama|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Drama|Romance|War,1,0.026624068157614485
Action|Adventure|Drama|Romance|Western,1,0.026624068157614485
Action|Adventure|Drama|Sci-Fi,2,0.05324813631522897
Action|Adventure|Drama|Sci-Fi|Thriller,2,0.05324813631522897
Action|Adventure|Drama|Thriller,12,0.3194888178913738
Action|Adventure|Drama|Thriller|War,1,0.026624068157614485
Action|Adventure|Drama|Thriller|Western,1,0.026624068157614485
Action|Adventure|Family|Fantasy,5,0.13312034078807242
Action|Adventure|Family|Fantasy|Romance,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Family|Fantasy|Thriller,1,0.026624068157614485
Action|Adventure|Family|Mystery,1,0.026624068157614485
Action|Adventure|Family|Mystery|Sci-Fi,1,0.026624068157614485
Action|Adventure|Family|Sci-Fi,2,0.05324813631522897
Action|Adventure|Family|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Family|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy,25,0.6656017039403621
Action|Adventure|Fantasy|Horror,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Sci-Fi,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy|Horror|Thriller,1,0.026624068157614485
Action|Adventure|Fantasy|Romance,3,0.07987220447284345
Action|Adventure|Fantasy|Sci-Fi,12,0.3194888178913738
Action|Adventure|Fantasy|Sci-Fi|Thriller,12,0.3194888178913738
Action|Adventure|Fantasy|Thriller,5,0.13312034078807242
Action|Adventure|Fantasy|War,1,0.026624068157614485
Action|Adventure|History,4,0.10649627263045794
Action|Adventure|Horror|Sci-Fi,4,0.10649627263045794
Action|Adventure|Horror|Sci-Fi|Thriller,3,0.07987220447284345
Action|Adventure|Horror|Thriller,2,0.05324813631522897
Action|Adventure|Mystery|Sci-Fi,2,0.05324813631522897
Action|Adventure|Mystery|Sci-Fi|Thriller,3,0.07987220447284345
Action|Adventure|Romance,5,0.13312034078807242
Action|Adventure|Romance|Sci-Fi,1,0.026624068157614485
Action|Adventure|Romance|Sci-Fi|Thriller,4,0.10649627263045794
Action|Adventure|Romance|Thriller,1,0.026624068157614485
Action|Adventure|Sci-Fi,48,1.2779552715654952
Action|Adventure|Sci-Fi|Thriller,34,0.9052183173588925
Action|Adventure|Thriller,45,1.1980830670926517
Action|Adventure|Thriller|War,2,0.05324813631522897
Action|Adventure|Western,4,0.10649627263045794
Action|Animation|Comedy|Crime|Family,1,0.026624068157614485
Action|Animation|Comedy|Family,1,0.026624068157614485
Action|Animation|Comedy|Family|Sci-Fi,3,0.07987220447284345
Action|Animation|Comedy|Sci-Fi,1,0.026624068157614485
Action|Animation|Sci-Fi,1,0.026624068157614485
Action|Animation|Sci-Fi|Thriller,1,0.026624068157614485
Action|Biography|Crime|Drama,2,0.05324813631522897
Action|Biography|Crime|Drama|Thriller,1,0.026624068157614485
Action|Biography|Drama,1,0.026624068157614485
Action|Biography|Drama|History,1,0.026624068157614485
Action|Biography|Drama|History|Romance|War,1,0.026624068157614485
Action|Biography|Drama|History|Romance|Western,1,0.026624068157614485
Action|Biography|Drama|History|Thriller|War,1,0.026624068157614485
Action|Biography|Drama|History|War,1,0.026624068157614485
Action|Biography|Drama|Sport,2,0.05324813631522897
Action|Biography|Drama|Thriller|War,1,0.026624068157614485
Action|Comedy,12,0.3194888178913738
Action|Comedy|Crime,27,0.7188498402555911
Action|Comedy|Crime|Drama,1,0.026624068157614485
Action|Comedy|Crime|Drama|Thriller,7,0.1863684771033014
Action|Comedy|Crime|Family,1,0.026624068157614485
Action|Comedy|Crime|Fantasy,2,0.05324813631522897
Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Comedy|Crime|Music,1,0.026624068157614485
Action|Comedy|Crime|Music|Romance|Thriller,1,0.026624068157614485
Action|Comedy|Crime|Romance,2,0.05324813631522897
Action|Comedy|Crime|Romance|Thriller,3,0.07987220447284345
Action|Comedy|Crime|Sci-Fi|Thriller,1,0.026624068157614485
Action|Comedy|Crime|Thriller,21,0.5591054313099041
Action|Comedy|Documentary,1,0.026624068157614485
Action|Comedy|Drama,1,0.026624068157614485
Action|Comedy|Drama|Family|Thriller,1,0.026624068157614485
Action|Comedy|Drama|Music,1,0.026624068157614485
Action|Comedy|Drama|Thriller,1,0.026624068157614485
Action|Comedy|Drama|War,1,0.026624068157614485
Action|Comedy|Family,2,0.05324813631522897
Action|Comedy|Family|Fantasy,2,0.05324813631522897
Action|Comedy|Fantasy,3,0.07987220447284345
Action|Comedy|Fantasy|Romance,1,0.026624068157614485
Action|Comedy|Fantasy|Sci-Fi,4,0.10649627263045794
Action|Comedy|Horror,2,0.05324813631522897
Action|Comedy|Horror|Sci-Fi,1,0.026624068157614485
Action|Comedy|Music,1,0.026624068157614485
Action|Comedy|Mystery,1,0.026624068157614485
Action|Comedy|Mystery|Romance,1,0.026624068157614485
Action|Comedy|Romance,6,0.1597444089456869
Action|Comedy|Romance|Thriller,1,0.026624068157614485
Action|Comedy|Sci-Fi,8,0.21299254526091588
Action|Comedy|Sci-Fi|Thriller,2,0.05324813631522897
Action|Comedy|Sci-Fi|Western,1,0.026624068157614485
Action|Comedy|Sport,3,0.07987220447284345
Action|Comedy|Thriller,4,0.10649627263045794
Action|Comedy|War,1,0.026624068157614485
Action|Crime,2,0.05324813631522897
Action|Crime|Drama,4,0.10649627263045794
Action|Crime|Drama|History|Western,1,0.026624068157614485
Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Crime|Drama|Mystery|Thriller,19,0.5058572949946752
Action|Crime|Drama|Romance|Thriller,6,0.1597444089456869
Action|Crime|Drama|Sci-Fi|Thriller,2,0.05324813631522897
Action|Crime|Drama|Sport,1,0.026624068157614485
Action|Crime|Drama|Thriller,50,1.3312034078807242
Action|Crime|Drama|Thriller|War,1,0.026624068157614485
Action|Crime|Drama|Thriller|Western,3,0.07987220447284345
Action|Crime|Drama|Western,1,0.026624068157614485
Action|Crime|Fantasy|Romance|Thriller,1,0.026624068157614485
Action|Crime|Fantasy|Thriller,3,0.07987220447284345
Action|Crime|Horror|Sci-Fi|Thriller,1,0.026624068157614485
Action|Crime|Mystery|Romance|Thriller,2,0.05324813631522897
Action|Crime|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Crime|Mystery|Thriller,6,0.1597444089456869
Action|Crime|Romance|Thriller,3,0.07987220447284345
Action|Crime|Sci-Fi,1,0.026624068157614485
Action|Crime|Sci-Fi|Thriller,11,0.2928647497337593
Action|Crime|Sport|Thriller,2,0.05324813631522897
Action|Crime|Thriller,56,1.4909478168264112
Action|Drama,6,0.1597444089456869
Action|Drama|Family|Sport,2,0.05324813631522897
Action|Drama|Fantasy,2,0.05324813631522897
Action|Drama|Fantasy|Horror|Thriller,1,0.026624068157614485
Action|Drama|Fantasy|Horror|War,1,0.026624068157614485
Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Drama|Fantasy|Mystery|Thriller,2,0.05324813631522897
Action|Drama|Fantasy|Romance,1,0.026624068157614485
Action|Drama|Fantasy|Thriller|Western,1,0.026624068157614485
Action|Drama|Fantasy|War,2,0.05324813631522897
Action|Drama|History|Romance|War,2,0.05324813631522897
Action|Drama|History|Romance|War|Western,1,0.026624068157614485
Action|Drama|History|War,4,0.10649627263045794
Action|Drama|Horror|Thriller,1,0.026624068157614485
Action|Drama|Music|Romance,1,0.026624068157614485
Action|Drama|Mystery|Sci-Fi,1,0.026624068157614485
Action|Drama|Mystery|Thriller,1,0.026624068157614485
Action|Drama|Mystery|Thriller|War,1,0.026624068157614485
Action|Drama|Romance,3,0.07987220447284345
Action|Drama|Romance|Sci-Fi|Thriller,1,0.026624068157614485
Action|Drama|Sci-Fi,1,0.026624068157614485
Action|Drama|Sci-Fi|Sport,1,0.026624068157614485
Action|Drama|Sci-Fi|Thriller,7,0.1863684771033014
Action|Drama|Sport,3,0.07987220447284345
Action|Drama|Sport|Thriller,1,0.026624068157614485
Action|Drama|Thriller,18,0.4792332268370607
Action|Drama|Thriller|War,6,0.1597444089456869
Action|Drama|War,8,0.21299254526091588
Action|Drama|Western,2,0.05324813631522897
Action|Family|Fantasy|Musical,1,0.026624068157614485
Action|Family|Sport,1,0.026624068157614485
Action|Fantasy,1,0.026624068157614485
Action|Fantasy|Horror,4,0.10649627263045794
Action|Fantasy|Horror|Mystery,1,0.026624068157614485
Action|Fantasy|Horror|Mystery|Thriller,1,0.026624068157614485
Action|Fantasy|Horror|Sci-Fi,1,0.026624068157614485
Action|Fantasy|Horror|Sci-Fi|Thriller,2,0.05324813631522897
Action|Fantasy|Horror|Thriller,5,0.13312034078807242
Action|Fantasy|Romance|Sci-Fi,1,0.026624068157614485
Action|Fantasy|Sci-Fi|Thriller,1,0.026624068157614485
Action|Fantasy|Thriller,4,0.10649627263045794
Action|Fantasy|Western,1,0.026624068157614485
Action|Horror,2,0.05324813631522897
Action|Horror|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Action|Horror|Romance,1,0.026624068157614485
Action|Horror|Romance|Sci-Fi|Thriller,1,0.026624068157614485
Action|Horror|Sci-Fi,6,0.1597444089456869
Action|Horror|Sci-Fi|Thriller,14,0.3727369542066028
Action|Horror|Thriller,6,0.1597444089456869
Action|Mystery|Sci-Fi|Thriller,6,0.1597444089456869
Action|Mystery|Thriller,9,0.23961661341853036
Action|Romance|Thriller,2,0.05324813631522897
Action|Sci-Fi,17,0.45260915867944623
Action|Sci-Fi|Sport,2,0.05324813631522897
Action|Sci-Fi|Thriller,13,0.34611288604898827
Action|Sci-Fi|War,1,0.026624068157614485
Action|Sport,1,0.026624068157614485
Action|Thriller,22,0.5857294994675186
Action|Thriller|Western,1,0.026624068157614485
Action|War,1,0.026624068157614485
Action|Western,1,0.026624068157614485
Adventure,2,0.05324813631522897
Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,1,0.026624068157614485
Adventure|Animation|Comedy,1,0.026624068157614485
Adventure|Animation|Comedy|Crime,1,0.026624068157614485
Adventure|Animation|Comedy|Crime|Family,1,0.026624068157614485
Adventure|Animation|Comedy|Drama|Family,2,0.05324813631522897
Adventure|Animation|Comedy|Drama|Family|Fantasy,1,0.026624068157614485
Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,1,0.026624068157614485
Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,1,0.026624068157614485
Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Adventure|Animation|Comedy|Drama|Family|Musical,2,0.05324813631522897
Adventure|Animation|Comedy|Family,21,0.5591054313099041
Adventure|Animation|Comedy|Family|Fantasy,27,0.7188498402555911
Adventure|Animation|Comedy|Family|Fantasy|Music,2,0.05324813631522897
Adventure|Animation|Comedy|Family|Fantasy|Musical,2,0.05324813631522897
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2,0.05324813631522897
Adventure|Animation|Comedy|Family|Fantasy|Romance,2,0.05324813631522897
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,4,0.10649627263045794
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,1,0.026624068157614485
Adventure|Animation|Comedy|Family|Musical,3,0.07987220447284345
Adventure|Animation|Comedy|Family|Romance,3,0.07987220447284345
Adventure|Animation|Comedy|Family|Sci-Fi,7,0.1863684771033014
Adventure|Animation|Comedy|Family|Sport,3,0.07987220447284345
Adventure|Animation|Comedy|Family|War,1,0.026624068157614485
Adventure|Animation|Comedy|Family|Western,1,0.026624068157614485
Adventure|Animation|Comedy|Fantasy|Romance,1,0.026624068157614485
Adventure|Animation|Drama|Family|Fantasy,1,0.026624068157614485
Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,1,0.026624068157614485
Adventure|Animation|Drama|Family|History|Musical|Romance,1,0.026624068157614485
Adventure|Animation|Drama|Family|Musical,1,0.026624068157614485
Adventure|Animation|Family,2,0.05324813631522897
Adventure|Animation|Family|Fantasy,10,0.26624068157614483
Adventure|Animation|Family|Fantasy|Musical|War,1,0.026624068157614485
Adventure|Animation|Family|Musical,1,0.026624068157614485
Adventure|Animation|Family|Sci-Fi,2,0.05324813631522897
Adventure|Animation|Family|Thriller,1,0.026624068157614485
Adventure|Animation|Family|Western,1,0.026624068157614485
Adventure|Animation|Fantasy,1,0.026624068157614485
Adventure|Biography,1,0.026624068157614485
Adventure|Biography|Crime|Drama|Western,1,0.026624068157614485
Adventure|Biography|Documentary|Drama,1,0.026624068157614485
Adventure|Biography|Drama,3,0.07987220447284345
Adventure|Biography|Drama|History,1,0.026624068157614485
Adventure|Biography|Drama|History|Sport|Thriller,1,0.026624068157614485
Adventure|Biography|Drama|History|War,4,0.10649627263045794
Adventure|Biography|Drama|Horror|Thriller,1,0.026624068157614485
Adventure|Biography|Drama|Thriller,3,0.07987220447284345
Adventure|Biography|Drama|War,1,0.026624068157614485
Adventure|Comedy,14,0.3727369542066028
Adventure|Comedy|Crime,1,0.026624068157614485
Adventure|Comedy|Crime|Drama,1,0.026624068157614485
Adventure|Comedy|Crime|Drama|Family,1,0.026624068157614485
Adventure|Comedy|Crime|Family|Musical,1,0.026624068157614485
Adventure|Comedy|Crime|Family|Mystery,1,0.026624068157614485
Adventure|Comedy|Crime|Music,1,0.026624068157614485
Adventure|Comedy|Crime|Romance,1,0.026624068157614485
Adventure|Comedy|Drama,7,0.1863684771033014
Adventure|Comedy|Drama|Family,1,0.026624068157614485
Adventure|Comedy|Drama|Family|Fantasy,3,0.07987220447284345
Adventure|Comedy|Drama|Family|Mystery,1,0.026624068157614485
Adventure|Comedy|Drama|Family|Romance,1,0.026624068157614485
Adventure|Comedy|Drama|Fantasy,1,0.026624068157614485
Adventure|Comedy|Drama|Fantasy|Musical,1,0.026624068157614485
Adventure|Comedy|Drama|Fantasy|Romance,1,0.026624068157614485
Adventure|Comedy|Drama|Music,1,0.026624068157614485
Adventure|Comedy|Drama|Romance,4,0.10649627263045794
Adventure|Comedy|Drama|Romance|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Drama|Romance|Thriller|War,1,0.026624068157614485
Adventure|Comedy|Family,7,0.1863684771033014
Adventure|Comedy|Family|Fantasy,11,0.2928647497337593
Adventure|Comedy|Family|Fantasy|Horror,2,0.05324813631522897
Adventure|Comedy|Family|Fantasy|Horror|Mystery,1,0.026624068157614485
Adventure|Comedy|Family|Fantasy|Musical,1,0.026624068157614485
Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Family|Fantasy|Romance|Sport,1,0.026624068157614485
Adventure|Comedy|Family|Fantasy|Sci-Fi,2,0.05324813631522897
Adventure|Comedy|Family|Musical,1,0.026624068157614485
Adventure|Comedy|Family|Music|Romance,1,0.026624068157614485
Adventure|Comedy|Family|Mystery|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Family|Romance,3,0.07987220447284345
Adventure|Comedy|Family|Romance|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Family|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Family|Sport,2,0.05324813631522897
Adventure|Comedy|Fantasy,3,0.07987220447284345
Adventure|Comedy|Fantasy|Music|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Fantasy|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Horror,1,0.026624068157614485
Adventure|Comedy|Horror|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Musical|Romance,1,0.026624068157614485
Adventure|Comedy|Music|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Mystery,2,0.05324813631522897
Adventure|Comedy|Romance,1,0.026624068157614485
Adventure|Comedy|Romance|Sci-Fi,1,0.026624068157614485
Adventure|Comedy|Sci-Fi,9,0.23961661341853036
Adventure|Comedy|Sci-Fi|Western,1,0.026624068157614485
Adventure|Comedy|Sport,1,0.026624068157614485
Adventure|Crime|Drama|Mystery|Western,1,0.026624068157614485
